id,stoveId,state,type,safety,time_elapsed_1,avg_pan_temp_1,highest_pan_temp_1,lowest_pan_temp_1,avg_food_temp_1,highest_food_temp_1,lowest_food_temp_1,time_elapsed_2,avg_pan_temp_2,highest_pan_temp_2,lowest_pan_temp_2,avg_food_temp_2,highest_food_temp_2,lowest_food_temp_2,time_elapsed_3,avg_pan_temp_3,highest_pan_temp_3,lowest_pan_temp_3,avg_food_temp_3,highest_food_temp_3,lowest_food_temp_3,time_elapsed_4,avg_pan_temp_4,highest_pan_temp_4,lowest_pan_temp_4,avg_food_temp_4,highest_food_temp_4,lowest_food_temp_4,time_elapsed_5,avg_pan_temp_5,highest_pan_temp_5,lowest_pan_temp_5,avg_food_temp_5,highest_food_temp_5,lowest_food_temp_5,time_elapsed_6,avg_pan_temp_6,highest_pan_temp_6,lowest_pan_temp_6,avg_food_temp_6,highest_food_temp_6,lowest_food_temp_6,time_elapsed_7,avg_pan_temp_7,highest_pan_temp_7,lowest_pan_temp_7,avg_food_temp_7,highest_food_temp_7,lowest_food_temp_7,time_elapsed_8,avg_pan_temp_8,highest_pan_temp_8,lowest_pan_temp_8,avg_food_temp_8,highest_food_temp_8,lowest_food_temp_8,time_elapsed_9,avg_pan_temp_9,highest_pan_temp_9,lowest_pan_temp_9,avg_food_temp_9,highest_food_temp_9,lowest_food_temp_9,time_elapsed_10,avg_pan_temp_10,highest_pan_temp_10,lowest_pan_temp_10,avg_food_temp_10,highest_food_temp_10,lowest_food_temp_10,time_elapsed_11,avg_pan_temp_11,highest_pan_temp_11,lowest_pan_temp_11,avg_food_temp_11,highest_food_temp_11,lowest_food_temp_11,time_elapsed_12,avg_pan_temp_12,highest_pan_temp_12,lowest_pan_temp_12,avg_food_temp_12,highest_food_temp_12,lowest_food_temp_12,time_elapsed_13,avg_pan_temp_13,highest_pan_temp_13,lowest_pan_temp_13,avg_food_temp_13,highest_food_temp_13,lowest_food_temp_13,time_elapsed_14,avg_pan_temp_14,highest_pan_temp_14,lowest_pan_temp_14,avg_food_temp_14,highest_food_temp_14,lowest_food_temp_14,time_elapsed_15,avg_pan_temp_15,highest_pan_temp_15,lowest_pan_temp_15,avg_food_temp_15,highest_food_temp_15,lowest_food_temp_15,time_elapsed_16,avg_pan_temp_16,highest_pan_temp_16,lowest_pan_temp_16,avg_food_temp_16,highest_food_temp_16,lowest_food_temp_16,time_elapsed_17,avg_pan_temp_17,highest_pan_temp_17,lowest_pan_temp_17,avg_food_temp_17,highest_food_temp_17,lowest_food_temp_17,time_elapsed_18,avg_pan_temp_18,highest_pan_temp_18,lowest_pan_temp_18,avg_food_temp_18,highest_food_temp_18,lowest_food_temp_18,time_elapsed_19,avg_pan_temp_19,highest_pan_temp_19,lowest_pan_temp_19,avg_food_temp_19,highest_food_temp_19,lowest_food_temp_19,time_elapsed_20,avg_pan_temp_20,highest_pan_temp_20,lowest_pan_temp_20,avg_food_temp_20,highest_food_temp_20,lowest_food_temp_20
1,1,1,0,0,0,5.058052982,5.058052982,5.058052982,5.058052982,5.058052982,5.058052982,156,5.058052982,5.058052982,5.058052982,5.058052982,5.058052982,5.058052982,312,132.9732969,279.3492437,9.702016807,30.0406678,45.18508724,19.63558181,468,146.999019,286.7460504,50.04823529,55.35724618,69.83402725,47.64347851,624,157.8842881,284.0563025,57.44504202,62.82583609,76.95281705,54.58136571,780,193.6415958,281.3665546,64.16941176,72.53468414,82.69681918,65.43699411,936,189.7884745,281.3665546,73.58352941,84.60013155,92.59794111,79.16887326,1092,189.5399785,282.0389916,84.34252101,91.10535761,99.61869683,87.28787361,1248,168.043013,281.3665546,79.63546218,87.5980962,98.66651171,79.63546218,1404,258.5365201,266.5729412,253.1242017,261.5354315,265.2911082,252.2363017,1560,225.0986228,263.2107563,73.58352941,237.4037121,258.9637859,215.8436382,1716,174.0224626,203.3638655,57.44504202,175.5846449,179.1091618,173.1956972,1872,142.6413953,163.690084,53.41042017,149.8330044,161.6307458,144.116055,2028,113.8800061,138.809916,49.37579832,121.6243281,132.7254459,117.2919328,2184,79.20649001,105.8605042,24.49563025,87.36236629,100.8585169,68.68302981,2340,60.06585204,79.63546218,25.8405042,68.72128374,74.85803205,59.78225014,2496,51.40926258,57.44504202,22.47831933,54.85637949,55.50780923,53.74845886,2652,46.09684119,50.04823529,22.47831933,48.76606678,49.6563006,47.85464945,2808,39.64242657,44.6687395,19.78857143,41.89076833,43.28974188,39.88292679,2964,34.88544567,39.2892437,15.08151261,37.39709311,38.13874606,36.03684445
2,1,1,1,0,0,6.970682521,6.970682521,6.970682521,6.970682521,6.970682521,6.970682521,164,6.969402661,6.969402661,6.969402661,6.969402661,6.969402661,6.969402661,328,114.766977,142.8445378,5.667394958,123.6829518,139.3915946,101.0998469,492,161.7205946,196.6394958,-9.126218487,163.5659903,193.2108974,26.11363191,656,188.7598675,210.0882353,53.41042017,163.9900289,205.8268431,66.1173682,820,197.197532,233.6235294,84.34252101,163.4505294,199.7219469,102.6728558,984,212.0813464,230.2613445,99.80857143,142.2046145,225.474453,101.5376951,1148,256.3083038,265.9005042,148.2240336,262.0175084,264.0988806,258.9916117,1312,237.8215331,265.9005042,120.6541176,260.057987,263.2486401,255.2195633,1476,196.9734155,230.9337815,58.78991597,229.2316754,229.2316754,229.2316754,1640,158.2549838,183.8631933,54.75529412,178.6731163,178.6731163,178.6731163,1804,131.6069813,154.2759664,53.41042017,150.0667196,152.4187595,148.8453736,1968,95.24632175,123.3438655,22.47831933,87.85075193,119.3223007,69.77988314,2132,72.3632488,99.80857143,20.4610084,84.09422167,95.96607443,69.26422622,2296,57.00242823,79.63546218,20.4610084,66.64921932,74.16309785,56.53681545,2460,49.88585481,57.44504202,20.4610084,55.3527166,56.13752568,52.44230664,2624,43.60295759,49.37579832,19.78857143,48.25246262,48.35404344,48.14190911,2788,37.76707906,44.6687395,14.40907563,42.76761335,43.57602941,41.51773318,2952,32.09375928,32.09375928,32.09375928,32.09375928,32.09375928,32.09375928,3116,28.55173584,28.55173584,28.55173584,28.55173584,28.55173584,28.55173584
3,1,1,1,0,0,4.223976824,4.223976824,4.223976824,4.223976824,4.223976824,4.223976824,230,4.223976824,4.223976824,4.223976824,4.223976824,4.223976824,4.223976824,460,194.9176554,215.4677311,22.47831933,197.8606662,213.1054628,179.8285714,690,262.3240407,265.9005042,47.35848739,208.9073229,264.7774651,53.88775725,920,262.0873769,278.0043697,260.5210084,263.078086,264.613599,260.4408095,1150,246.2025177,265.9005042,91.73932773,261.7267279,263.9840588,258.2549347,1380,204.250188,237.6581513,57.44504202,234.3791552,234.7695959,234.0546613,1610,150.9206089,150.9206089,150.9206089,150.9206089,150.9206089,150.9206089,1840,113.2948005,113.2948005,113.2948005,113.2948005,113.2948005,113.2948005,2070,75.3456116,99.80857143,24.49563025,86.3810007,96.39466063,69.3937298,2300,56.30262532,64.16941176,24.49563025,57.64250142,60.7241167,55.91290714,2530,47.78651527,49.37579832,20.4610084,48.21072035,48.21072035,48.21072035,2760,40.57688797,44.6687395,19.78857143,43.13277108,43.83808206,41.47569521,2990,33.87652636,33.87652636,33.87652636,33.87652636,33.87652636,33.87652636,3220,28.82784909,28.82784909,28.82784909,28.82784909,28.82784909,28.82784909,3450,23.75149189,23.75149189,23.75149189,23.75149189,23.75149189,23.75149189,3680,21.97066499,21.97066499,21.97066499,21.97066499,21.97066499,21.97066499,3910,18.43615984,18.43615984,18.43615984,18.43615984,18.43615984,18.43615984,4140,16.84820889,16.84820889,16.84820889,16.84820889,16.84820889,16.84820889,4370,14.41875273,14.41875273,14.41875273,14.41875273,14.41875273,14.41875273
4,1,1,0,0,0,14.65409885,14.65409885,14.65409885,14.65409885,14.65409885,14.65409885,139,14.6426032,14.6426032,14.6426032,14.6426032,14.6426032,14.6426032,278,112.5531893,277.3319328,13.06420168,29.05429408,42.60810948,19.35097014,417,137.976051,281.3665546,27.85781513,48.50185633,60.07344373,36.93026894,556,162.8948214,284.7287395,57.44504202,65.34535792,73.73728506,58.78341899,695,201.8799236,281.3665546,89.04957983,106.438851,108.9589256,103.9187763,834,205.2071891,281.3665546,84.34252101,96.39772862,100.3309131,88.79061543,973,260.0318421,281.3665546,255.8139496,260.5557249,263.8905827,255.8139496,1112,209.640546,240.3478992,66.85915966,206.1499453,206.1499453,206.1499453,1251,154.8521016,174.4490756,57.44504202,159.7708215,161.6727731,156.7735894,1390,119.52863,138.809916,53.41042017,123.7451932,125.5534068,122.0301069,1529,76.04145622,99.80857143,27.85781513,83.78127242,95.49760562,70.49135784,1668,55.79684586,61.47966387,24.49563025,59.34421449,59.37419809,59.31423088,1807,47.69352726,53.41042017,24.49563025,49.14205728,51.20178826,48.03828145,1946,39.49921944,44.6687395,20.4610084,42.09622859,43.37086383,41.09236249,2085,32.99012185,32.99012185,32.99012185,32.99012185,32.99012185,32.99012185,2224,28.85969621,28.85969621,28.85969621,28.85969621,28.85969621,28.85969621,2363,22.98195568,22.98195568,22.98195568,22.98195568,22.98195568,22.98195568,2502,21.04328883,21.04328883,21.04328883,21.04328883,21.04328883,21.04328883,2641,18.809256,18.809256,18.809256,18.809256,18.809256,18.809256
5,1,1,1,0,0,16.01211224,16.01211224,16.01211224,16.01211224,16.01211224,16.01211224,199,16.01224355,16.01224355,16.01224355,16.01224355,16.01224355,16.01224355,398,161.7662384,179.8285714,14.40907563,173.757614,179.8285714,156.4528789,597,256.5394874,266.5729412,-1.729411765,100.625788,257.9508639,-0.859403101,796,258.6669759,271.28,33.9097479,249.9056721,266.581947,92.38735528,995,259.3708149,278.0043697,259.1761345,260.1981749,263.4509124,255.7362112,1194,233.9478822,264.5556303,91.73932773,258.5014042,261.8318095,254.2239818,1393,182.8601992,203.3638655,57.44504202,200.3637621,200.3637621,200.3637621,1592,143.1341941,165.034958,50.04823529,162.4898193,164.5119514,159.7642388,1791,105.6899459,136.1201681,33.9097479,127.2387536,132.4079,124.3397532,1990,72.64289813,99.80857143,24.49563025,83.01820505,95.37412219,69.54890756,2189,55.51936001,66.85915966,25.8405042,60.21757721,65.42462745,55.89751583,2388,48.11110862,54.75529412,22.47831933,54.03357205,54.06116563,53.99284589,2587,41.44329354,44.6687395,19.78857143,42.8871988,43.70153563,41.47717296,2786,35.90005582,40.63411765,19.78857143,38.44237474,39.98145823,34.25231013,2985,30.13385048,30.13385048,30.13385048,30.13385048,30.13385048,30.13385048,3184,25.88674047,25.88674047,25.88674047,25.88674047,25.88674047,25.88674047,3383,22.80959853,22.80959853,22.80959853,22.80959853,22.80959853,22.80959853,3582,20.04243653,20.04243653,20.04243653,20.04243653,20.04243653,20.04243653,3781,18.33260443,18.33260443,18.33260443,18.33260443,18.33260443,18.33260443
6,1,1,0,0,0,4.728945606,4.728945606,4.728945606,4.728945606,4.728945606,4.728945606,133,4.703472725,4.703472725,4.703472725,4.703472725,4.703472725,4.703472725,266,77.31016692,278.0043697,19.78857143,20.60673375,24.00272445,18.8919888,399,231.5756817,284.0563025,37.27193277,41.37208495,47.67592238,38.07138562,532,270.708796,284.0563025,57.44504202,64.33034973,69.26650414,59.39419532,665,271.7347366,282.0389916,84.34252101,92.69918293,99.80857143,86.14428714,798,272.2137269,284.7287395,99.80857143,106.8584194,109.2385549,104.1313252,931,279.7356378,281.3665546,99.80857143,105.1488594,110.0215061,101.075255,1064,264.2787085,281.3665546,259.1761345,262.0552371,265.1572844,259.3272439,1197,243.9509585,265.9005042,109.2226891,257.8592586,262.7866037,239.8661349,1330,175.0642574,193.9497479,66.85915966,183.2461398,186.6970348,180.4956188,1463,135.7560645,149.5689076,54.75529412,145.6428765,148.970058,141.4040509,1596,94.24203025,107.2053782,47.35848739,103.2016438,106.3275189,100.2679441,1729,59.71287791,66.85915966,25.8405042,65.64722009,65.85832324,65.34646782,1862,49.07923814,49.07923814,49.07923814,49.07923814,49.07923814,49.07923814,1995,41.5632932,47.35848739,20.4610084,43.12924162,45.44418809,39.70951681,2128,34.7271778,37.27193277,19.78857143,35.78966314,36.22849609,34.51396663,2261,28.68866162,28.68866162,28.68866162,28.68866162,28.68866162,28.68866162,2394,23.16871955,23.16871955,23.16871955,23.16871955,23.16871955,23.16871955,2527,24.16916835,24.16916835,24.16916835,24.16916835,24.16916835,24.16916835
7,1,1,1,0,0,7.990005038,7.990005038,7.990005038,7.990005038,7.990005038,7.990005038,197,7.990005038,7.990005038,7.990005038,7.990005038,7.990005038,7.990005038,394,144.4661102,161.0003361,9.702016807,152.4086399,159.7092571,142.7100504,591,227.5535015,275.9870588,99.80857143,101.0510645,126.8159856,75.28614347,788,261.9346729,281.3665546,256.4863866,262.1931965,264.0264995,259.4786148,985,258.2404302,264.5556303,163.690084,260.1998552,262.869909,258.1373699,1182,235.475538,264.5556303,101.8258824,258.0784672,261.7598197,254.5811485,1379,184.8739722,220.8472269,53.41042017,219.4032781,219.6830077,219.1614517,1576,145.3573881,172.4317647,53.41042017,166.9553089,169.4661452,164.6335031,1773,110.4173943,136.1201681,39.2892437,128.9315996,128.9601349,128.9030643,1970,77.20283213,99.80857143,27.85781513,85.10508074,95.77394958,70.80060318,2167,57.23439363,57.44504202,24.49563025,54.85897383,54.85897383,54.85897383,2364,49.12564161,57.44504202,24.49563025,54.36663583,54.67210604,54.06116563,2561,42.5938952,49.37579832,20.4610084,46.48806882,48.32978525,41.57799707,2758,36.52467767,40.63411765,19.78857143,40.10280942,40.10280942,40.10280942,2955,31.75765306,31.75765306,31.75765306,31.75765306,31.75765306,31.75765306,3152,27.2303258,27.2303258,27.2303258,27.2303258,27.2303258,27.2303258,3349,23.59206073,23.59206073,23.59206073,23.59206073,23.59206073,23.59206073,3546,21.67451408,21.67451408,21.67451408,21.67451408,21.67451408,21.67451408,3743,19.49404646,19.49404646,19.49404646,19.49404646,19.49404646,19.49404646
8,1,0,,0,0,-20.84596313,327.7647059,15.08151261,68.03939853,327.7647059,15.96958876,48,-20.84596313,327.7647059,15.08151261,68.03939853,327.7647059,15.96958876,96,-17.20327317,327.7647059,13.06420168,92.16329441,327.7647059,13.51062122,144,28.14931017,28.14931017,28.14931017,28.14931017,28.14931017,28.14931017,192,10.91859505,10.91859505,10.91859505,10.91859505,10.91859505,10.91859505,240,28.32913144,28.32913144,28.32913144,28.32913144,28.32913144,28.32913144,288,9.904561987,9.904561987,9.904561987,9.904561987,9.904561987,9.904561987,336,10.5847402,10.5847402,10.5847402,10.5847402,10.5847402,10.5847402,384,7.819012403,7.819012403,7.819012403,7.819012403,7.819012403,7.819012403,432,6.83559828,6.83559828,6.83559828,6.83559828,6.83559828,6.83559828,480,31.32368602,31.32368602,31.32368602,31.32368602,31.32368602,31.32368602,528,31.55762551,31.55762551,31.55762551,31.55762551,31.55762551,31.55762551,576,27.74165204,27.74165204,27.74165204,27.74165204,27.74165204,27.74165204,624,22.50370961,22.50370961,22.50370961,22.50370961,22.50370961,22.50370961,672,31.21469434,31.21469434,31.21469434,31.21469434,31.21469434,31.21469434,720,-61.00136935,327.7647059,4.322521008,16.93678264,327.7647059,4.691050728,768,5.207634211,5.207634211,5.207634211,5.207634211,5.207634211,5.207634211,816,4.40112005,4.40112005,4.40112005,4.40112005,4.40112005,4.40112005,864,4.947044103,4.947044103,4.947044103,4.947044103,4.947044103,4.947044103,912,4.289045004,4.289045004,4.289045004,4.289045004,4.289045004,4.289045004
9,1,0,,0,0,15.28246313,15.28246313,15.28246313,15.28246313,15.28246313,15.28246313,25,15.28034845,15.28034845,15.28034845,15.28034845,15.28034845,15.28034845,50,-16.93546821,327.7647059,13.06420168,327.7647059,327.7647059,327.7647059,75,14.13045527,14.13045527,14.13045527,14.13045527,14.13045527,14.13045527,100,31.94360331,31.94360331,31.94360331,31.94360331,31.94360331,31.94360331,125,10.51059902,10.51059902,10.51059902,10.51059902,10.51059902,10.51059902,150,23.90718382,23.90718382,23.90718382,23.90718382,23.90718382,23.90718382,175,10.08592338,10.08592338,10.08592338,10.08592338,10.08592338,10.08592338,200,9.297669568,9.297669568,9.297669568,9.297669568,9.297669568,9.297669568,225,14.10749265,14.10749265,14.10749265,14.10749265,14.10749265,14.10749265,250,27.65771559,27.65771559,27.65771559,27.65771559,27.65771559,27.65771559,275,7.452294964,7.452294964,7.452294964,7.452294964,7.452294964,7.452294964,300,7.171431164,7.171431164,7.171431164,7.171431164,7.171431164,7.171431164,325,0,0,0,0,0,0,350,32.73789451,32.73789451,32.73789451,32.73789451,32.73789451,32.73789451,375,32.16613332,32.16613332,32.16613332,32.16613332,32.16613332,32.16613332,400,32.18428783,32.18428783,32.18428783,32.18428783,32.18428783,32.18428783,425,29.14182018,29.14182018,29.14182018,29.14182018,29.14182018,29.14182018,450,32.54395238,32.54395238,32.54395238,32.54395238,32.54395238,32.54395238,475,5.673741539,5.673741539,5.673741539,5.673741539,5.673741539,5.673741539
10,1,0,,0,0,5.082444413,5.082444413,5.082444413,5.082444413,5.082444413,5.082444413,36,5.082444413,5.082444413,5.082444413,5.082444413,5.082444413,5.082444413,72,4.496582646,4.496582646,4.496582646,4.496582646,4.496582646,4.496582646,108,4.27973671,4.27973671,4.27973671,4.27973671,4.27973671,4.27973671,144,4.353059815,4.353059815,4.353059815,4.353059815,4.353059815,4.353059815,180,4.534341239,4.534341239,4.534341239,4.534341239,4.534341239,4.534341239,216,4.46468497,4.46468497,4.46468497,4.46468497,4.46468497,4.46468497,252,3.511152791,3.511152791,3.511152791,3.511152791,3.511152791,3.511152791,288,4.081975921,4.081975921,4.081975921,4.081975921,4.081975921,4.081975921,324,3.122915496,3.122915496,3.122915496,3.122915496,3.122915496,3.122915496,360,3.122499965,3.122499965,3.122499965,3.122499965,3.122499965,3.122499965,396,2.471272498,2.471272498,2.471272498,2.471272498,2.471272498,2.471272498,432,2.430203753,2.430203753,2.430203753,2.430203753,2.430203753,2.430203753,468,2.92892435,2.92892435,2.92892435,2.92892435,2.92892435,2.92892435,504,2.53020451,2.53020451,2.53020451,2.53020451,2.53020451,2.53020451,540,1.92321695,1.92321695,1.92321695,1.92321695,1.92321695,1.92321695,576,2.875936387,2.875936387,2.875936387,2.875936387,2.875936387,2.875936387,612,2.694511259,2.694511259,2.694511259,2.694511259,2.694511259,2.694511259,648,0,0,0,0,0,0,684,2.642789371,2.642789371,2.642789371,2.642789371,2.642789371,2.642789371
